year_actual,month_name,nama_product,jenis_product,kategori_premi,total_registrations,total_premium,total_sum_assured,avg_premium,referral_count
2024,December,Asuransi Jiwa Quo,Asuransi Jiwa,High,42,326502530.0,99117851995.0,7773869.761904762,39
2024,December,Asuransi Jiwa Rerum,Asuransi Jiwa,High,47,386598125.0,132009288340.0,8225492.021276596,41
2024,December,Asuransi Jiwa Tempore,Asuransi Jiwa,Medium,54,186342094.0,56558200142.0,3450779.5185185187,44
2024,December,Asuransi Jiwa Ut,Asuransi Jiwa,High,60,313285324.0,94729684468.0,5221422.066666666,51
2024,December,Asuransi Jiwa Veritatis,Asuransi Jiwa,High,59,579171065.0,180617564738.0,9816458.728813559,48
2024,December,Asuransi Jiwa Voluptates,Asuransi Jiwa,High,66,268100248.0,82554538545.0,4062124.9696969697,60
2024,December,Asuransi Kendaraan Consequatur,Asuransi Kendaraan,High,51,295511172.0,88477577833.0,5794336.705882353,43
2024,December,Asuransi Kendaraan Dolorum,Asuransi Kendaraan,Medium,47,138109771.0,45214054594.0,2938505.765957447,38
2024,December,Asuransi Kendaraan Facilis,Asuransi Kendaraan,High,66,294379736.0,84233115144.0,4460299.03030303,46
2024,December,Asuransi Kendaraan Harum,Asuransi Kendaraan,High,46,356364326.0,100982522564.0,7747050.565217392,37
2024,December,Asuransi Kendaraan In,Asuransi Kendaraan,High,62,436847621.0,125320443220.0,7045929.370967742,56
2024,December,Asuransi Kendaraan Ipsa,Asuransi Kendaraan,High,71,414287063.0,127710132463.0,5835029.056338028,64
2024,December,Asuransi Kendaraan Officiis,Asuransi Kendaraan,High,59,387271160.0,108336828011.0,6563917.966101695,53
2024,December,Asuransi Kendaraan Omnis,Asuransi Kendaraan,High,42,213852652.0,62174944576.0,5091729.80952381,32
2024,December,Asuransi Kendaraan Quasi,Asuransi Kendaraan,High,49,217900332.0,59635163848.0,4446945.551020408,39
2024,December,Asuransi Kendaraan Quis,Asuransi Kendaraan,High,72,532853876.0,174131265561.0,7400748.277777778,61
2024,December,Asuransi Kendaraan Quo,Asuransi Kendaraan,High,57,309824089.0,89774559290.0,5435510.333333333,49
2024,December,Asuransi Kendaraan Tempore,Asuransi Kendaraan,Medium,51,155725047.0,44456490665.0,3053432.294117647,42
2024,December,Asuransi Kendaraan Ullam,Asuransi Kendaraan,Medium,46,146784268.0,45232659711.0,3190962.347826087,40
2024,December,Asuransi Kendaraan Vel,Asuransi Kendaraan,Low,63,60788995.0,18584725431.0,964904.6825396825,49
2024,December,Asuransi Kendaraan Voluptatibus,Asuransi Kendaraan,High,55,462554784.0,139231530573.0,8410086.981818182,43
2024,December,Asuransi Kendaraan Voluptatum,Asuransi Kendaraan,Medium,43,144444690.0,36371496626.0,3359178.8372093025,35
2024,December,Asuransi Kesehatan Adipisci,Asuransi Kesehatan,High,66,534933856.0,158670555501.0,8105058.424242424,59
2024,December,Asuransi Kesehatan Animi,Asuransi Kesehatan,High,64,382156597.0,108158515688.0,5971196.828125,55
2024,December,Asuransi Kesehatan Aut,Asuransi Kesehatan,High,73,518116606.0,146506086942.0,7097487.7534246575,56
2024,December,Asuransi Kesehatan Blanditiis,Asuransi Kesehatan,High,66,477142933.0,142844528147.0,7229438.378787879,54
2024,December,Asuransi Kesehatan Cupiditate,Asuransi Kesehatan,High,53,207244154.0,57546068127.0,3910267.0566037735,47
2024,December,Asuransi Kesehatan Distinctio,Asuransi Kesehatan,High,50,374732523.0,108973699433.0,7494650.46,44
2024,December,Asuransi Kesehatan Eaque,Asuransi Kesehatan,High,60,416191911.0,124098976333.0,6936531.85,50
2024,December,Asuransi Kesehatan Eligendi,Asuransi Kesehatan,High,57,296120543.0,74469742170.0,5195097.245614035,46
2024,December,Asuransi Kesehatan Eum,Asuransi Kesehatan,High,66,503291406.0,157593948000.0,7625627.363636363,56
2024,December,Asuransi Kesehatan Ex,Asuransi Kesehatan,High,111,682002507.0,218875793442.0,6144166.72972973,92
2024,December,Asuransi Kesehatan Excepturi,Asuransi Kesehatan,High,60,364197885.0,113810212198.0,6069964.75,55
2024,December,Asuransi Kesehatan Officia,Asuransi Kesehatan,Medium,48,90857928.0,25525083568.0,1892873.5,38
2024,December,Asuransi Kesehatan Officiis,Asuransi Kesehatan,High,179,1042055818.0,326190644084.0,5821540.882681564,147
2024,December,Asuransi Kesehatan Optio,Asuransi Kesehatan,Medium,50,99701604.0,31005052403.0,1994032.08,45
2024,December,Asuransi Kesehatan Soluta,Asuransi Kesehatan,Medium,46,130973760.0,37547078688.0,2847255.652173913,35
2024,December,Asuransi Kesehatan Suscipit,Asuransi Kesehatan,Medium,60,176068264.0,54214057477.0,2934471.066666667,51
2024,December,Asuransi Kesehatan Veniam,Asuransi Kesehatan,High,60,295596559.0,95827055530.0,4926609.316666666,45
2024,December,Asuransi Pendidikan Aspernatur,Asuransi Pendidikan,Medium,51,57762763.0,17237958967.0,1132603.1960784313,40
2024,December,Asuransi Pendidikan Delectus,Asuransi Pendidikan,High,69,313591200.0,90212127200.0,4544800.0,58
2024,December,Asuransi Pendidikan Et,Asuransi Pendidikan,High,65,519120206.0,163827866275.0,7986464.707692307,57
2024,December,Asuransi Pendidikan Eum,Asuransi Pendidikan,High,61,323047958.0,99374942773.0,5295868.163934426,54
2024,December,Asuransi Pendidikan Incidunt,Asuransi Pendidikan,High,69,473323885.0,140179887546.0,6859766.449275362,55
2024,December,Asuransi Pendidikan Inventore,Asuransi Pendidikan,High,61,413632618.0,127663276571.0,6780862.590163934,52
2024,December,Asuransi Pendidikan Magnam,Asuransi Pendidikan,High,71,547346408.0,166109013105.0,7709104.338028169,62
2024,December,Asuransi Pendidikan Minima,Asuransi Pendidikan,High,52,330327016.0,90351697964.0,6352442.615384615,40
2024,December,Asuransi Pendidikan Natus,Asuransi Pendidikan,High,50,533727675.0,153101255215.0,10674553.5,40
2024,December,Asuransi Pendidikan Nobis,Asuransi Pendidikan,High,50,381887654.0,120141092256.0,7637753.08,41
2024,December,Asuransi Pendidikan Nulla,Asuransi Pendidikan,High,49,358153450.0,101623839529.0,7309254.081632653,40
2024,December,Asuransi Pendidikan Occaecati,Asuransi Pendidikan,Medium,46,116589294.0,38810166838.0,2534549.8695652173,38
2024,December,Asuransi Pendidikan Odio,Asuransi Pendidikan,High,34,159928405.0,52079166145.0,4703776.617647059,29
2024,December,Asuransi Pendidikan Odit,Asuransi Pendidikan,Medium,56,193687419.0,55442791115.0,3458703.910714286,46
2024,December,Asuransi Pendidikan Praesentium,Asuransi Pendidikan,High,74,554460683.0,159522967560.0,7492711.932432433,66
2024,December,Asuransi Pendidikan Quasi,Asuransi Pendidikan,High,58,303187730.0,89204273352.0,5227374.655172414,51
2024,December,Asuransi Pendidikan Qui,Asuransi Pendidikan,High,68,355629514.0,112813797465.0,5229845.794117647,56
2024,December,Asuransi Pendidikan Quod,Asuransi Pendidikan,High,70,680712982.0,194952622665.0,9724471.17142857,56
2024,December,Asuransi Pendidikan Recusandae,Asuransi Pendidikan,Medium,50,107503583.0,32121035604.0,2150071.66,39
2024,December,Asuransi Pendidikan Similique,Asuransi Pendidikan,Medium,67,116044296.0,36259318346.0,1732004.4179104478,53
2024,December,Asuransi Pendidikan Sunt,Asuransi Pendidikan,High,49,446367337.0,134943571521.0,9109537.489795918,38
2024,December,Asuransi Pendidikan Suscipit,Asuransi Pendidikan,Medium,50,60917684.0,19110252677.0,1218353.68,42
2024,December,Asuransi Pendidikan Veritatis,Asuransi Pendidikan,High,44,180373731.0,53471118182.0,4099402.977272727,38
2024,December,Asuransi Pendidikan Voluptatem,Asuransi Pendidikan,High,64,528234466.0,154452886073.0,8253663.53125,59
2024,December,Asuransi Properti Aspernatur,Asuransi Properti,High,52,386261684.0,132434494276.0,7428109.307692308,43
2024,December,Asuransi Properti Eligendi,Asuransi Properti,Low,63,15208622.0,4690191948.0,241406.6984126984,55
2024,December,Asuransi Properti Error,Asuransi Properti,High,62,600288660.0,177449014446.0,9682075.161290323,53
2024,December,Asuransi Properti Eum,Asuransi Properti,High,52,416367835.0,118313726475.0,8007073.75,43
2024,December,Asuransi Properti Fugit,Asuransi Properti,Medium,59,157650480.0,49370878697.0,2672042.033898305,53
2024,December,Asuransi Properti Hic,Asuransi Properti,Medium,64,126743745.0,38361006878.0,1980371.015625,51
2024,December,Asuransi Properti Illo,Asuransi Properti,High,65,358711581.0,113054771401.0,5518639.707692307,55
2024,December,Asuransi Properti Quidem,Asuransi Properti,High,56,553528790.0,151989109633.0,9884442.67857143,45
2024,December,Asuransi Properti Quod,Asuransi Properti,High,64,402259784.0,114892739463.0,6285309.125,54
2024,December,Asuransi Properti Sapiente,Asuransi Properti,High,49,188338625.0,62143813905.0,3843645.4081632653,40
2024,December,Asuransi Properti Soluta,Asuransi Properti,High,83,483938579.0,145368288613.0,5830585.289156627,67
2024,December,Asuransi Properti Suscipit,Asuransi Properti,Low,55,51511185.0,15337681471.0,936567.0,48
2024,December,Asuransi Properti Ullam,Asuransi Properti,Medium,64,120120104.0,35363074813.0,1876876.625,50
2024,July,Asuransi Jiwa Accusantium,Asuransi Jiwa,High,45,208008369.0,70733603925.0,4622408.2,40
2024,July,Asuransi Jiwa Consectetur,Asuransi Jiwa,High,50,219994169.0,73292912563.0,4399883.38,42
2024,July,Asuransi Jiwa Corrupti,Asuransi Jiwa,High,43,297128417.0,82015370095.0,6909963.186046512,37
2024,July,Asuransi Jiwa Dicta,Asuransi Jiwa,High,33,273172236.0,80808410523.0,8277946.545454546,25
2024,July,Asuransi Jiwa Dolor,Asuransi Jiwa,High,46,343506643.0,93030402840.0,7467535.717391305,40
2024,July,Asuransi Jiwa Explicabo,Asuransi Jiwa,High,48,344075105.0,102131357157.0,7168231.354166667,38
2024,July,Asuransi Jiwa Fugiat,Asuransi Jiwa,Medium,47,46460745.0,14049096824.0,988526.4893617021,44
2024,July,Asuransi Jiwa Impedit,Asuransi Jiwa,High,43,324237585.0,101981032196.0,7540408.953488372,38
2024,July,Asuransi Jiwa Ipsum,Asuransi Jiwa,Low,34,8268130.0,2740767184.0,243180.29411764705,26
2024,July,Asuransi Jiwa Iure,Asuransi Jiwa,High,34,169296548.0,52936332862.0,4979310.235294118,28
2024,July,Asuransi Jiwa Libero,Asuransi Jiwa,Medium,38,123119540.0,36508275306.0,3239987.8947368423,29
2024,July,Asuransi Jiwa Nam,Asuransi Jiwa,High,35,323438934.0,90065119950.0,9241112.4,34
2024,July,Asuransi Jiwa Neque,Asuransi Jiwa,Medium,44,64879122.0,20049269661.0,1474525.5,39
2024,July,Asuransi Jiwa Nisi,Asuransi Jiwa,Medium,37,92171250.0,28757432616.0,2491114.864864865,33
2024,July,Asuransi Jiwa Nostrum,Asuransi Jiwa,High,53,211282698.0,64712688466.0,3986466.0,46
2024,July,Asuransi Jiwa Odit,Asuransi Jiwa,Medium,75,222330985.0,69712674239.0,2964413.1333333333,65
2024,July,Asuransi Jiwa Officia,Asuransi Jiwa,Low,50,41493045.0,12192669366.0,829860.9,41
2024,July,Asuransi Jiwa Omnis,Asuransi Jiwa,High,46,392570840.0,132553733048.0,8534148.695652174,40
2024,July,Asuransi Jiwa Perspiciatis,Asuransi Jiwa,Medium,76,99147641.0,30083951116.0,1304574.2236842106,61
2024,July,Asuransi Jiwa Quo,Asuransi Jiwa,High,40,278255018.0,82401753900.0,6956375.45,33
2024,July,Asuransi Jiwa Rerum,Asuransi Jiwa,High,42,361226276.0,105558063075.0,8600625.61904762,32
2024,July,Asuransi Jiwa Tempore,Asuransi Jiwa,Medium,43,150640192.0,48161511740.0,3503260.2790697673,37
2024,July,Asuransi Jiwa Ut,Asuransi Jiwa,High,48,255318317.0,78199074706.0,5319131.604166667,42
2024,July,Asuransi Jiwa Veritatis,Asuransi Jiwa,High,40,373160337.0,122409233544.0,9329008.425,35
2024,July,Asuransi Jiwa Voluptates,Asuransi Jiwa,High,62,236476102.0,71552557574.0,3814130.6774193547,55
2024,July,Asuransi Kendaraan Consequatur,Asuransi Kendaraan,High,32,188943413.0,61702121505.0,5904481.65625,29
2024,July,Asuransi Kendaraan Dolorum,Asuransi Kendaraan,Medium,51,147133551.0,45442402224.0,2884971.588235294,44
2024,July,Asuransi Kendaraan Facilis,Asuransi Kendaraan,High,52,255050609.0,77729913216.0,4904819.403846154,43
2024,July,Asuransi Kendaraan Harum,Asuransi Kendaraan,High,41,296841428.0,83205662349.0,7240034.8292682925,32
2024,July,Asuransi Kendaraan In,Asuransi Kendaraan,High,44,297674928.0,85190558875.0,6765339.2727272725,33
2024,July,Asuransi Kendaraan Ipsa,Asuransi Kendaraan,High,32,190718755.0,51311958719.0,5959961.09375,29
2024,July,Asuransi Kendaraan Officiis,Asuransi Kendaraan,High,38,244538908.0,73187487410.0,6435234.421052632,34
2024,July,Asuransi Kendaraan Omnis,Asuransi Kendaraan,High,45,232402445.0,68817626883.0,5164498.777777778,41
2024,July,Asuransi Kendaraan Quasi,Asuransi Kendaraan,High,51,185408410.0,57961943743.0,3635459.0196078434,46
2024,July,Asuransi Kendaraan Quis,Asuransi Kendaraan,High,39,311004209.0,91875624122.0,7974466.897435897,34
2024,July,Asuransi Kendaraan Quo,Asuransi Kendaraan,High,36,203322059.0,56689338981.0,5647834.972222222,32
2024,July,Asuransi Kendaraan Tempore,Asuransi Kendaraan,Medium,23,71910728.0,19455197656.0,3126553.3913043477,19
2024,July,Asuransi Kendaraan Ullam,Asuransi Kendaraan,Medium,39,128023677.0,40022425968.0,3282658.3846153845,32
2024,July,Asuransi Kendaraan Vel,Asuransi Kendaraan,Low,36,32377824.0,9746718367.0,899384.0,27
2024,July,Asuransi Kendaraan Voluptatibus,Asuransi Kendaraan,High,48,395327900.0,130505142601.0,8235997.916666667,42
2024,July,Asuransi Kendaraan Voluptatum,Asuransi Kendaraan,Medium,46,157398578.0,45769807457.0,3421708.217391304,39
2024,July,Asuransi Kesehatan Adipisci,Asuransi Kesehatan,High,47,386901844.0,115980140708.0,8231954.127659574,37
2024,July,Asuransi Kesehatan Animi,Asuransi Kesehatan,High,42,262561921.0,75116387222.0,6251474.30952381,35
2024,July,Asuransi Kesehatan Aut,Asuransi Kesehatan,High,41,326405813.0,94702077054.0,7961117.390243903,34
