year_actual,month_name,claim_type,nama_product,jenis_product,total_claims,total_claim_amount,total_approved_amount,avg_processing_days,rejected_claims,rejection_rate
2024,August,Accident,Asuransi Kendaraan Voluptatibus,Asuransi Kendaraan,6,5572635400.0,4536331150.0,13.166666666666666,1,16.666666666666664
2024,August,Accident,Asuransi Kendaraan Voluptatum,Asuransi Kendaraan,7,3038928700.0,2712702542.0,20.428571428571427,1,14.285714285714285
2024,August,Critical Illness,Asuransi Jiwa Accusantium,Asuransi Jiwa,9,8118488059.0,4759653827.0,20.0,1,11.11111111111111
2024,August,Critical Illness,Asuransi Jiwa Consectetur,Asuransi Jiwa,12,9778871540.0,6743014873.0,15.833333333333334,1,8.333333333333332
2024,August,Critical Illness,Asuransi Jiwa Corrupti,Asuransi Jiwa,9,6193884944.0,3821527431.0,19.22222222222222,2,22.22222222222222
2024,August,Critical Illness,Asuransi Jiwa Dicta,Asuransi Jiwa,16,17534399348.0,6753551440.0,15.875,2,12.5
2024,August,Critical Illness,Asuransi Jiwa Dolor,Asuransi Jiwa,13,22280622828.0,11914571939.0,15.384615384615385,1,7.6923076923076925
2024,August,Critical Illness,Asuransi Jiwa Explicabo,Asuransi Jiwa,7,6764183887.0,2536025436.0,11.857142857142858,2,28.57142857142857
2024,August,Critical Illness,Asuransi Jiwa Fugiat,Asuransi Jiwa,11,2066660572.0,1674817049.0,15.363636363636363,1,9.090909090909092
2024,August,Critical Illness,Asuransi Jiwa Impedit,Asuransi Jiwa,7,7701442380.0,5925088108.0,14.857142857142858,2,28.57142857142857
2024,August,Critical Illness,Asuransi Jiwa Ipsum,Asuransi Jiwa,13,291490306.0,208592360.0,10.153846153846153,0,0.0
2024,August,Critical Illness,Asuransi Jiwa Iure,Asuransi Jiwa,9,7932913950.0,5809402967.0,15.222222222222221,0,0.0
2024,August,Critical Illness,Asuransi Jiwa Libero,Asuransi Jiwa,10,4699383830.0,2977761506.0,16.8,1,10.0
2024,August,Critical Illness,Asuransi Jiwa Nam,Asuransi Jiwa,8,6986298007.0,4512102212.0,13.25,0,0.0
2024,August,Critical Illness,Asuransi Jiwa Neque,Asuransi Jiwa,16,3359632963.0,1905854062.0,13.9375,2,12.5
2024,August,Critical Illness,Asuransi Jiwa Nisi,Asuransi Jiwa,11,5006054786.0,4561870497.0,14.818181818181818,0,0.0
2024,August,Critical Illness,Asuransi Jiwa Nostrum,Asuransi Jiwa,12,8792657763.0,7409405083.0,11.5,1,8.333333333333332
2024,August,Critical Illness,Asuransi Jiwa Odit,Asuransi Jiwa,13,4866449340.0,3969415942.0,13.615384615384615,0,0.0
2024,August,Critical Illness,Asuransi Jiwa Officia,Asuransi Jiwa,9,1106108677.0,732589257.0,13.555555555555555,1,11.11111111111111
2024,August,Critical Illness,Asuransi Jiwa Omnis,Asuransi Jiwa,7,6504016457.0,3281064516.0,19.142857142857142,0,0.0
2024,August,Critical Illness,Asuransi Jiwa Perspiciatis,Asuransi Jiwa,29,5721324090.0,3102014026.0,16.75862068965517,4,13.793103448275861
2024,August,Critical Illness,Asuransi Jiwa Quo,Asuransi Jiwa,11,12254561960.0,9928870822.0,14.909090909090908,2,18.181818181818183
2024,August,Critical Illness,Asuransi Jiwa Rerum,Asuransi Jiwa,11,13789889124.0,5505366023.0,15.818181818181818,2,18.181818181818183
2024,August,Critical Illness,Asuransi Jiwa Tempore,Asuransi Jiwa,14,7227300527.0,3119509077.0,12.642857142857142,3,21.428571428571427
2024,August,Critical Illness,Asuransi Jiwa Ut,Asuransi Jiwa,9,5470620125.0,2038476751.0,14.333333333333334,1,11.11111111111111
2024,August,Critical Illness,Asuransi Jiwa Veritatis,Asuransi Jiwa,9,8131085286.0,4590944888.0,17.22222222222222,1,11.11111111111111
2024,August,Critical Illness,Asuransi Jiwa Voluptates,Asuransi Jiwa,10,6819863490.0,3632873225.0,12.8,1,10.0
2024,August,Death Benefit,Asuransi Jiwa Accusantium,Asuransi Jiwa,7,4404033229.0,4404033229.0,13.142857142857142,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Consectetur,Asuransi Jiwa,13,7796658908.0,6730159579.0,9.461538461538462,1,7.6923076923076925
2024,August,Death Benefit,Asuransi Jiwa Corrupti,Asuransi Jiwa,6,4519726513.0,2847656699.0,19.666666666666668,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Dicta,Asuransi Jiwa,10,11026526922.0,8841724499.0,18.4,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Dolor,Asuransi Jiwa,8,11783323390.0,6998489185.0,18.25,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Explicabo,Asuransi Jiwa,6,6322052604.0,4583771554.0,12.333333333333334,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Fugiat,Asuransi Jiwa,7,881313778.0,467094855.0,15.142857142857142,2,28.57142857142857
2024,August,Death Benefit,Asuransi Jiwa Impedit,Asuransi Jiwa,10,11844633790.0,8527032510.0,17.7,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Ipsum,Asuransi Jiwa,9,312272233.0,230845831.0,12.11111111111111,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Iure,Asuransi Jiwa,7,4802226128.0,2302022643.0,14.571428571428571,1,14.285714285714285
2024,August,Death Benefit,Asuransi Jiwa Libero,Asuransi Jiwa,7,4792249039.0,2520924110.0,14.142857142857142,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Nam,Asuransi Jiwa,4,4367994981.0,3139812901.0,22.0,1,25.0
2024,August,Death Benefit,Asuransi Jiwa Neque,Asuransi Jiwa,10,2115164766.0,1219847473.0,16.6,2,20.0
2024,August,Death Benefit,Asuransi Jiwa Nisi,Asuransi Jiwa,10,6210372563.0,3206509947.0,16.5,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Nostrum,Asuransi Jiwa,6,2466263986.0,2378128703.0,21.666666666666668,1,16.666666666666664
2024,August,Death Benefit,Asuransi Jiwa Odit,Asuransi Jiwa,18,10630295677.0,7009720765.0,15.38888888888889,2,11.11111111111111
2024,August,Death Benefit,Asuransi Jiwa Officia,Asuransi Jiwa,12,795413993.0,470463843.0,13.0,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Omnis,Asuransi Jiwa,13,15821250166.0,14013638484.0,15.538461538461538,3,23.076923076923077
2024,August,Death Benefit,Asuransi Jiwa Perspiciatis,Asuransi Jiwa,21,6091793823.0,4933244430.0,12.380952380952381,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Quo,Asuransi Jiwa,6,11031601014.0,3142624949.0,12.5,1,16.666666666666664
2024,August,Death Benefit,Asuransi Jiwa Rerum,Asuransi Jiwa,6,5905274035.0,5905274035.0,16.666666666666668,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Tempore,Asuransi Jiwa,11,7126483718.0,5948927856.0,14.909090909090908,0,0.0
2024,August,Death Benefit,Asuransi Jiwa Ut,Asuransi Jiwa,9,6225289187.0,3396323144.0,17.444444444444443,2,22.22222222222222
2024,August,Death Benefit,Asuransi Jiwa Veritatis,Asuransi Jiwa,9,16973770681.0,7662909994.0,16.555555555555557,1,11.11111111111111
2024,August,Death Benefit,Asuransi Jiwa Voluptates,Asuransi Jiwa,7,2663832856.0,770593224.0,13.714285714285714,1,14.285714285714285
2024,August,Disability,Asuransi Jiwa Accusantium,Asuransi Jiwa,9,4846682672.0,1549060185.0,14.333333333333334,2,22.22222222222222
2024,August,Disability,Asuransi Jiwa Consectetur,Asuransi Jiwa,9,6100503945.0,2325956199.0,13.88888888888889,2,22.22222222222222
2024,August,Disability,Asuransi Jiwa Corrupti,Asuransi Jiwa,4,3812611014.0,3812611014.0,13.0,0,0.0
2024,August,Disability,Asuransi Jiwa Dicta,Asuransi Jiwa,13,14146456666.0,9854676421.0,14.461538461538462,0,0.0
2024,August,Disability,Asuransi Jiwa Dolor,Asuransi Jiwa,9,9973827963.0,5305645881.0,16.11111111111111,0,0.0
2024,August,Disability,Asuransi Jiwa Explicabo,Asuransi Jiwa,10,15400941257.0,5407813938.0,14.7,2,20.0
2024,August,Disability,Asuransi Jiwa Fugiat,Asuransi Jiwa,14,1282666691.0,349487274.0,14.571428571428571,1,7.142857142857142
2024,August,Disability,Asuransi Jiwa Impedit,Asuransi Jiwa,7,10854746704.0,8213927066.0,23.0,0,0.0
2024,August,Disability,Asuransi Jiwa Ipsum,Asuransi Jiwa,9,434726691.0,338477539.0,6.666666666666667,1,11.11111111111111
2024,August,Disability,Asuransi Jiwa Iure,Asuransi Jiwa,8,7752543051.0,5442432384.0,17.375,0,0.0
2024,August,Disability,Asuransi Jiwa Libero,Asuransi Jiwa,15,7372887486.0,2652152434.0,14.333333333333334,3,20.0
2024,August,Disability,Asuransi Jiwa Nam,Asuransi Jiwa,8,9182180697.0,8902826033.0,18.0,0,0.0
2024,August,Disability,Asuransi Jiwa Neque,Asuransi Jiwa,11,2214257961.0,1808514567.0,19.09090909090909,0,0.0
2024,August,Disability,Asuransi Jiwa Nisi,Asuransi Jiwa,12,5368183611.0,4282762786.0,11.166666666666666,1,8.333333333333332
2024,August,Disability,Asuransi Jiwa Nostrum,Asuransi Jiwa,10,6651858530.0,2621863279.0,16.1,0,0.0
2024,August,Disability,Asuransi Jiwa Odit,Asuransi Jiwa,17,7735491107.0,2951111165.0,14.705882352941176,3,17.647058823529413
2024,August,Disability,Asuransi Jiwa Officia,Asuransi Jiwa,11,2061608512.0,1069630963.0,21.454545454545453,0,0.0
2024,August,Disability,Asuransi Jiwa Omnis,Asuransi Jiwa,8,11240555264.0,1886205332.0,11.25,2,25.0
2024,August,Disability,Asuransi Jiwa Perspiciatis,Asuransi Jiwa,11,1999186927.0,536266312.0,16.545454545454547,0,0.0
2024,August,Disability,Asuransi Jiwa Quo,Asuransi Jiwa,15,19407937264.0,11743251068.0,17.066666666666666,2,13.333333333333334
2024,August,Disability,Asuransi Jiwa Rerum,Asuransi Jiwa,4,3525928074.0,2326588861.0,21.0,1,25.0
2024,August,Disability,Asuransi Jiwa Tempore,Asuransi Jiwa,13,7514740450.0,5269792527.0,14.307692307692308,4,30.76923076923077
2024,August,Disability,Asuransi Jiwa Ut,Asuransi Jiwa,10,9330301596.0,4381916898.0,17.2,1,10.0
2024,August,Disability,Asuransi Jiwa Veritatis,Asuransi Jiwa,12,18805520490.0,16988567631.0,14.583333333333334,0,0.0
2024,August,Disability,Asuransi Jiwa Voluptates,Asuransi Jiwa,12,8231023693.0,5942076722.0,15.75,0,0.0
2024,August,Education Fund,Asuransi Pendidikan Aspernatur,Asuransi Pendidikan,10,2140680716.0,483500107.0,13.7,1,10.0
2024,August,Education Fund,Asuransi Pendidikan Delectus,Asuransi Pendidikan,13,12409061897.0,8315100050.0,18.615384615384617,1,7.6923076923076925
2024,August,Education Fund,Asuransi Pendidikan Et,Asuransi Pendidikan,26,24399907486.0,17541115681.0,12.153846153846153,0,0.0
2024,August,Education Fund,Asuransi Pendidikan Eum,Asuransi Pendidikan,15,9914560136.0,7531616545.0,14.4,3,20.0
2024,August,Education Fund,Asuransi Pendidikan Incidunt,Asuransi Pendidikan,11,14110393714.0,9401861711.0,17.545454545454547,1,9.090909090909092
2024,August,Education Fund,Asuransi Pendidikan Inventore,Asuransi Pendidikan,13,14365640225.0,11755904741.0,12.692307692307692,0,0.0
2024,August,Education Fund,Asuransi Pendidikan Magnam,Asuransi Pendidikan,10,4582459839.0,1476021333.0,14.9,3,30.0
2024,August,Education Fund,Asuransi Pendidikan Minima,Asuransi Pendidikan,13,12991443765.0,7424943113.0,16.46153846153846,2,15.384615384615385
2024,August,Education Fund,Asuransi Pendidikan Natus,Asuransi Pendidikan,11,13748015950.0,8827396849.0,15.0,3,27.27272727272727
2024,August,Education Fund,Asuransi Pendidikan Nobis,Asuransi Pendidikan,13,22532566340.0,14660226344.0,17.076923076923077,0,0.0
2024,August,Education Fund,Asuransi Pendidikan Nulla,Asuransi Pendidikan,17,21122889269.0,6288200542.0,14.411764705882353,2,11.76470588235294
2024,August,Education Fund,Asuransi Pendidikan Occaecati,Asuransi Pendidikan,17,5596455353.0,3086808289.0,17.470588235294116,1,5.88235294117647
2024,August,Education Fund,Asuransi Pendidikan Odio,Asuransi Pendidikan,14,12971199353.0,7105348830.0,18.857142857142858,0,0.0
2024,August,Education Fund,Asuransi Pendidikan Odit,Asuransi Pendidikan,14,9379703968.0,5583397727.0,13.071428571428571,2,14.285714285714285
2024,August,Education Fund,Asuransi Pendidikan Praesentium,Asuransi Pendidikan,17,31744807095.0,21046319603.0,16.470588235294116,0,0.0
2024,August,Education Fund,Asuransi Pendidikan Quasi,Asuransi Pendidikan,15,11950747026.0,5411127575.0,16.066666666666666,4,26.666666666666668
2024,August,Education Fund,Asuransi Pendidikan Qui,Asuransi Pendidikan,17,8892718950.0,4338420439.0,13.941176470588236,3,17.647058823529413
2024,August,Education Fund,Asuransi Pendidikan Quod,Asuransi Pendidikan,15,20497592652.0,13759012811.0,16.533333333333335,1,6.666666666666667
2024,August,Education Fund,Asuransi Pendidikan Recusandae,Asuransi Pendidikan,8,1773293111.0,489776172.0,13.625,1,12.5
2024,August,Education Fund,Asuransi Pendidikan Similique,Asuransi Pendidikan,18,3652427901.0,2332581000.0,15.666666666666666,6,33.33333333333333
2024,August,Education Fund,Asuransi Pendidikan Sunt,Asuransi Pendidikan,17,27009154499.0,15697586770.0,12.294117647058824,1,5.88235294117647
2024,August,Education Fund,Asuransi Pendidikan Suscipit,Asuransi Pendidikan,4,746001539.0,668702624.0,13.5,1,25.0
2024,August,Education Fund,Asuransi Pendidikan Veritatis,Asuransi Pendidikan,12,7244873304.0,4196307424.0,20.166666666666668,1,8.333333333333332
2024,August,Education Fund,Asuransi Pendidikan Voluptatem,Asuransi Pendidikan,21,31720810714.0,26338459809.0,16.761904761904763,1,4.761904761904762
2024,August,Education Protection,Asuransi Pendidikan Aspernatur,Asuransi Pendidikan,10,2355574658.0,1372408023.0,13.8,1,10.0
2024,August,Education Protection,Asuransi Pendidikan Delectus,Asuransi Pendidikan,8,4720729800.0,3308195040.0,20.125,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Et,Asuransi Pendidikan,19,34068265279.0,20526471814.0,16.94736842105263,2,10.526315789473683
2024,August,Education Protection,Asuransi Pendidikan Eum,Asuransi Pendidikan,13,11003814881.0,6639866560.0,16.153846153846153,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Incidunt,Asuransi Pendidikan,16,17817498213.0,5485291438.0,18.1875,1,6.25
2024,August,Education Protection,Asuransi Pendidikan Inventore,Asuransi Pendidikan,13,13787820610.0,8714616236.0,14.0,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Magnam,Asuransi Pendidikan,10,5508029928.0,4212704517.0,12.7,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Minima,Asuransi Pendidikan,14,16863345785.0,15681511227.0,15.142857142857142,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Natus,Asuransi Pendidikan,14,23974790421.0,13248492766.0,14.571428571428571,3,21.428571428571427
2024,August,Education Protection,Asuransi Pendidikan Nobis,Asuransi Pendidikan,17,24229464667.0,17550909030.0,12.176470588235293,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Nulla,Asuransi Pendidikan,14,20067418573.0,19032843046.0,16.214285714285715,1,7.142857142857142
2024,August,Education Protection,Asuransi Pendidikan Occaecati,Asuransi Pendidikan,15,6019290278.0,3869595199.0,15.533333333333333,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Odio,Asuransi Pendidikan,5,6047303494.0,3185327331.0,23.0,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Odit,Asuransi Pendidikan,11,4659675028.0,1721585680.0,12.454545454545455,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Praesentium,Asuransi Pendidikan,11,13219499761.0,8923472630.0,10.636363636363637,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Quasi,Asuransi Pendidikan,11,6415130188.0,3303420648.0,16.181818181818183,1,9.090909090909092
2024,August,Education Protection,Asuransi Pendidikan Qui,Asuransi Pendidikan,12,13903899084.0,2015354967.0,15.0,3,25.0
2024,August,Education Protection,Asuransi Pendidikan Quod,Asuransi Pendidikan,12,15629022255.0,5526115437.0,17.666666666666668,3,25.0
2024,August,Education Protection,Asuransi Pendidikan Recusandae,Asuransi Pendidikan,8,2289686159.0,766167727.0,14.625,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Similique,Asuransi Pendidikan,16,3422668596.0,1280183197.0,16.875,3,18.75
2024,August,Education Protection,Asuransi Pendidikan Sunt,Asuransi Pendidikan,15,22404447441.0,21276570911.0,11.2,1,6.666666666666667
2024,August,Education Protection,Asuransi Pendidikan Suscipit,Asuransi Pendidikan,15,2557735811.0,1835314770.0,15.6,2,13.333333333333334
2024,August,Education Protection,Asuransi Pendidikan Veritatis,Asuransi Pendidikan,16,9342303720.0,6985973372.0,13.5,0,0.0
2024,August,Education Protection,Asuransi Pendidikan Voluptatem,Asuransi Pendidikan,11,12559759479.0,8372258942.0,18.727272727272727,0,0.0
2024,August,Fire Damage,Asuransi Properti Aspernatur,Asuransi Properti,9,10312181988.0,8969440935.0,21.22222222222222,0,0.0
2024,August,Fire Damage,Asuransi Properti Eligendi,Asuransi Properti,12,365399409.0,87067006.0,15.416666666666666,5,41.66666666666667
2024,August,Fire Damage,Asuransi Properti Error,Asuransi Properti,10,13522023878.0,11904855553.0,20.6,0,0.0
2024,August,Fire Damage,Asuransi Properti Eum,Asuransi Properti,7,10187166390.0,2323674805.0,16.714285714285715,1,14.285714285714285
2024,August,Fire Damage,Asuransi Properti Fugit,Asuransi Properti,16,8661105084.0,6202685472.0,12.75,3,18.75
2024,August,Fire Damage,Asuransi Properti Hic,Asuransi Properti,13,4203823760.0,1640339247.0,20.846153846153847,1,7.6923076923076925
2024,August,Fire Damage,Asuransi Properti Illo,Asuransi Properti,10,6109883734.0,4081354658.0,12.7,1,10.0
2024,August,Fire Damage,Asuransi Properti Quidem,Asuransi Properti,15,19521332033.0,14827732754.0,12.866666666666667,1,6.666666666666667
2024,August,Fire Damage,Asuransi Properti Quod,Asuransi Properti,8,6833978576.0,4448843816.0,16.25,0,0.0
2024,August,Fire Damage,Asuransi Properti Sapiente,Asuransi Properti,5,3708205181.0,1333419533.0,17.8,0,0.0
2024,August,Fire Damage,Asuransi Properti Soluta,Asuransi Properti,8,5804483515.0,3959532581.0,17.75,1,12.5
2024,August,Fire Damage,Asuransi Properti Suscipit,Asuransi Properti,15,1533662018.0,1345490694.0,17.8,1,6.666666666666667
2024,August,Fire Damage,Asuransi Properti Ullam,Asuransi Properti,11,2472667093.0,1896309718.0,13.909090909090908,0,0.0
2024,August,Hospital Cash,Asuransi Kesehatan Adipisci,Asuransi Kesehatan,12,15095088372.0,5585422166.0,11.833333333333334,1,8.333333333333332
2024,August,Hospital Cash,Asuransi Kesehatan Animi,Asuransi Kesehatan,8,6020738941.0,4780218311.0,17.0,2,25.0
2024,August,Hospital Cash,Asuransi Kesehatan Aut,Asuransi Kesehatan,11,9246291683.0,5205167869.0,15.0,1,9.090909090909092
2024,August,Hospital Cash,Asuransi Kesehatan Blanditiis,Asuransi Kesehatan,9,7870150803.0,4902303435.0,12.444444444444445,1,11.11111111111111
2024,August,Hospital Cash,Asuransi Kesehatan Cupiditate,Asuransi Kesehatan,11,7552668406.0,5837988117.0,16.636363636363637,3,27.27272727272727
2024,August,Hospital Cash,Asuransi Kesehatan Distinctio,Asuransi Kesehatan,13,21195720403.0,14343189744.0,17.76923076923077,2,15.384615384615385
2024,August,Hospital Cash,Asuransi Kesehatan Eaque,Asuransi Kesehatan,5,6966089589.0,5689103198.0,17.0,0,0.0
2024,August,Hospital Cash,Asuransi Kesehatan Eligendi,Asuransi Kesehatan,13,9918092982.0,8458520138.0,18.46153846153846,1,7.6923076923076925
2024,August,Hospital Cash,Asuransi Kesehatan Eum,Asuransi Kesehatan,12,7858451574.0,4958283147.0,16.5,2,16.666666666666664
2024,August,Hospital Cash,Asuransi Kesehatan Ex,Asuransi Kesehatan,14,10861134171.0,8931513889.0,16.428571428571427,2,14.285714285714285
2024,August,Hospital Cash,Asuransi Kesehatan Excepturi,Asuransi Kesehatan,12,12892216165.0,7631427848.0,18.166666666666668,2,16.666666666666664
2024,August,Hospital Cash,Asuransi Kesehatan Officia,Asuransi Kesehatan,8,3526820047.0,1105351057.0,14.125,1,12.5
2024,August,Hospital Cash,Asuransi Kesehatan Officiis,Asuransi Kesehatan,20,16833621105.0,9746776837.0,16.05,2,10.0
2024,August,Hospital Cash,Asuransi Kesehatan Optio,Asuransi Kesehatan,9,2827576381.0,1876980465.0,17.666666666666668,1,11.11111111111111
2024,August,Hospital Cash,Asuransi Kesehatan Soluta,Asuransi Kesehatan,7,2013015534.0,1760130356.0,18.857142857142858,0,0.0
2024,August,Hospital Cash,Asuransi Kesehatan Suscipit,Asuransi Kesehatan,11,5556949715.0,4123458947.0,15.0,2,18.181818181818183
2024,August,Hospital Cash,Asuransi Kesehatan Veniam,Asuransi Kesehatan,10,7739987282.0,4443275791.0,12.3,1,10.0
2024,August,Medical Reimbursement,Asuransi Kesehatan Adipisci,Asuransi Kesehatan,13,20706119423.0,18091271125.0,13.692307692307692,0,0.0
2024,August,Medical Reimbursement,Asuransi Kesehatan Animi,Asuransi Kesehatan,11,11614785413.0,6910361896.0,14.818181818181818,0,0.0
2024,August,Medical Reimbursement,Asuransi Kesehatan Aut,Asuransi Kesehatan,10,9298663095.0,7376726205.0,13.4,1,10.0
2024,August,Medical Reimbursement,Asuransi Kesehatan Blanditiis,Asuransi Kesehatan,13,11250939902.0,6662895200.0,15.692307692307692,2,15.384615384615385
2024,August,Medical Reimbursement,Asuransi Kesehatan Cupiditate,Asuransi Kesehatan,9,5740265597.0,4519022514.0,12.0,0,0.0
2024,August,Medical Reimbursement,Asuransi Kesehatan Distinctio,Asuransi Kesehatan,11,14124875196.0,8336785864.0,16.818181818181817,2,18.181818181818183
2024,August,Medical Reimbursement,Asuransi Kesehatan Eaque,Asuransi Kesehatan,8,12836300105.0,9131971795.0,12.125,0,0.0
2024,August,Medical Reimbursement,Asuransi Kesehatan Eligendi,Asuransi Kesehatan,7,8667523103.0,2911587771.0,18.0,1,14.285714285714285
2024,August,Medical Reimbursement,Asuransi Kesehatan Eum,Asuransi Kesehatan,11,19510389832.0,7738826185.0,19.0,2,18.181818181818183
2024,August,Medical Reimbursement,Asuransi Kesehatan Ex,Asuransi Kesehatan,22,20630765369.0,11272369805.0,17.227272727272727,2,9.090909090909092
2024,August,Medical Reimbursement,Asuransi Kesehatan Excepturi,Asuransi Kesehatan,11,7223080268.0,4766599087.0,16.454545454545453,1,9.090909090909092
2024,August,Medical Reimbursement,Asuransi Kesehatan Officia,Asuransi Kesehatan,9,4167473939.0,2206287510.0,19.555555555555557,0,0.0
2024,August,Medical Reimbursement,Asuransi Kesehatan Officiis,Asuransi Kesehatan,30,30096330840.0,15347848057.0,15.533333333333333,3,10.0
2024,August,Medical Reimbursement,Asuransi Kesehatan Optio,Asuransi Kesehatan,13,3675979107.0,2166241543.0,11.461538461538462,1,7.6923076923076925
2024,August,Medical Reimbursement,Asuransi Kesehatan Soluta,Asuransi Kesehatan,7,1886891130.0,1142124617.0,20.142857142857142,0,0.0
2024,August,Medical Reimbursement,Asuransi Kesehatan Suscipit,Asuransi Kesehatan,8,3712554188.0,1522287915.0,18.5,1,12.5
2024,August,Medical Reimbursement,Asuransi Kesehatan Veniam,Asuransi Kesehatan,6,8504904432.0,4688502326.0,11.833333333333334,0,0.0
2024,August,Natural Disaster,Asuransi Properti Aspernatur,Asuransi Properti,12,12732187960.0,8667111429.0,16.166666666666668,1,8.333333333333332
2024,August,Natural Disaster,Asuransi Properti Eligendi,Asuransi Properti,11,425286727.0,351994496.0,15.909090909090908,0,0.0
2024,August,Natural Disaster,Asuransi Properti Error,Asuransi Properti,12,14259830719.0,1619877047.0,13.416666666666666,3,25.0
2024,August,Natural Disaster,Asuransi Properti Eum,Asuransi Properti,9,10453991518.0,8964197566.0,13.0,0,0.0
2024,August,Natural Disaster,Asuransi Properti Fugit,Asuransi Properti,13,2923892452.0,2576089655.0,17.692307692307693,0,0.0
2024,August,Natural Disaster,Asuransi Properti Hic,Asuransi Properti,10,2348917715.0,1728011360.0,16.5,1,10.0
2024,August,Natural Disaster,Asuransi Properti Illo,Asuransi Properti,10,10125977430.0,6188552690.0,10.5,0,0.0
2024,August,Natural Disaster,Asuransi Properti Quidem,Asuransi Properti,15,18169518099.0,10620408044.0,16.4,1,6.666666666666667
2024,August,Natural Disaster,Asuransi Properti Quod,Asuransi Properti,12,8711581883.0,5245424669.0,13.25,4,33.33333333333333
2024,August,Natural Disaster,Asuransi Properti Sapiente,Asuransi Properti,8,3665262731.0,1950595745.0,13.875,0,0.0
2024,August,Natural Disaster,Asuransi Properti Soluta,Asuransi Properti,5,6436899808.0,735122203.0,13.8,1,20.0
2024,August,Natural Disaster,Asuransi Properti Suscipit,Asuransi Properti,6,1212415891.0,1212415891.0,16.833333333333332,0,0.0
2024,August,Natural Disaster,Asuransi Properti Ullam,Asuransi Properti,6,1986160785.0,1649889136.0,19.666666666666668,0,0.0
2024,August,Outpatient Treatment,Asuransi Kesehatan Adipisci,Asuransi Kesehatan,14,22195956268.0,8279533491.0,14.214285714285714,3,21.428571428571427
2024,August,Outpatient Treatment,Asuransi Kesehatan Animi,Asuransi Kesehatan,14,11285149331.0,9032247961.0,17.285714285714285,2,14.285714285714285
2024,August,Outpatient Treatment,Asuransi Kesehatan Aut,Asuransi Kesehatan,10,10702606938.0,8395561347.0,15.3,0,0.0
