return_id,investment_id,return_date,previous_nav,current_nav,return_percentage,return_amount,ytd_return
RET-934611,INV-663259,2024-07-06,1100.95,1108.45,0.68,23863.93,0.68
RET-984337,INV-663259,2024-08-05,1108.4539516277034,1116.32,0.71,25009.54,1.4
RET-491025,INV-663259,2024-09-04,1116.318138024379,1117.37,0.09,3333.63,1.49
RET-260752,INV-663259,2024-10-04,1117.3663890537405,1139.03,1.94,68907.15,3.46
RET-817092,INV-663259,2024-11-03,1139.034068286028,1161.5,1.97,71446.92,5.5
RET-655008,INV-623073,2025-01-23,1047.45,1052.22,0.46,4330.8,0.46
RET-733615,INV-623073,2025-02-22,1052.2189749553859,1057.16,0.47,4486.67,0.93
RET-568698,INV-623073,2025-03-24,1057.1596000721993,1061.93,0.45,4330.63,1.38
RET-167292,INV-623073,2025-04-23,1061.9283916606041,1066.24,0.41,3915.3,1.79
RET-178950,INV-623073,2025-05-23,1066.2398356980225,1073.51,0.68,6599.59,2.49
RET-765837,INV-954131,2023-11-07,1236.71,1231.6,-0.41,-24475.17,-0.41
RET-079270,INV-954131,2023-12-07,1231.5984279669437,1285.42,4.37,257705.42,3.94
RET-566098,INV-954131,2024-01-06,1285.4194886503976,1313.83,2.21,136047.11,6.24
RET-321584,INV-954131,2024-02-05,1313.8325507636287,1310.76,-0.23,-14715.22,5.99
RET-117374,INV-954131,2024-03-06,1310.7593184189273,1343.86,2.52,158469.19,8.66
RET-003590,INV-616378,2025-05-21,1112.45,1122.14,0.87,33494.31,0.87
RET-133602,INV-616378,2025-06-20,1122.1399419349723,1136.27,1.26,48847.74,2.14
RET-826072,INV-421213,2025-03-19,1124.56,1129.53,0.44,2753.73,0.44
RET-758633,INV-421213,2025-04-18,1129.5331230635059,1140.68,0.99,6170.57,1.43
RET-984549,INV-421213,2025-05-18,1140.6769320591957,1153.56,1.13,7131.81,2.58
RET-887296,INV-421213,2025-06-17,1153.556703239084,1166.53,1.12,7184.89,3.73
RET-452081,INV-695237,2024-09-08,1474.23,1494.45,1.37,38947.73,1.37
RET-426368,INV-695237,2024-10-08,1494.4470647279277,1513.13,1.25,35998.91,2.64
RET-013602,INV-695237,2024-11-07,1513.1334486399328,1544.04,2.04,59532.2,4.74
RET-978258,INV-695237,2024-12-07,1544.0355441367776,1563.54,1.26,37576.44,6.06
RET-120671,INV-695237,2025-01-06,1563.5407963938414,1590.52,1.73,51981.63,7.89
RET-673333,INV-795496,2025-05-29,1282.91,1289.73,0.53,29722.57,0.53
RET-702121,INV-795496,2025-06-28,1289.7323416850857,1295.71,0.46,26032.99,1.0
RET-739722,INV-254885,2025-05-23,1208.01,1221.84,1.15,85700.41,1.15
RET-966794,INV-254885,2025-06-22,1221.843288168388,1247.5,2.1,158970.79,3.27
RET-648885,INV-857369,2023-06-30,1376.27,1387.23,0.8,50839.62,0.8
RET-993981,INV-857369,2023-07-30,1387.231043114003,1392.82,0.4,25925.11,1.2
RET-678502,INV-857369,2023-08-29,1392.8205079112597,1403.81,0.79,50989.5,2.0
RET-068175,INV-857369,2023-09-28,1403.813865926929,1409.24,0.39,25148.43,2.4
RET-574398,INV-857369,2023-10-28,1409.2358785743852,1416.61,0.52,34220.14,2.93
RET-830798,INV-257381,2025-06-24,1260.55,1274.78,1.13,28752.1,1.13
RET-986576,INV-390119,2025-05-13,1106.23,1109.34,0.28,9091.93,0.28
RET-441439,INV-390119,2025-06-12,1109.3396175539099,1128.12,1.69,54896.59,1.98
RET-971856,INV-285174,2025-04-11,1167.82,1176.34,0.73,10239.84,0.73
RET-704527,INV-285174,2025-05-11,1176.342030777411,1183.68,0.62,8821.31,1.36
RET-126913,INV-285174,2025-06-10,1183.6834954192727,1200.25,1.4,19911.64,2.78
RET-946977,INV-957869,2025-01-30,1130.63,1157.97,2.42,8761.98,2.42
RET-098244,INV-957869,2025-03-01,1157.9666557719343,1197.62,3.42,12708.9,5.92
RET-615841,INV-957869,2025-03-31,1197.6173766842512,1224.77,2.27,8701.79,8.33
RET-895987,INV-957869,2025-04-30,1224.7662490042019,1214.78,-0.82,-3201.56,7.44
RET-134612,INV-957869,2025-05-30,1214.777643342541,1262.42,3.92,15270.77,11.66
RET-709644,INV-135959,2025-06-06,1303.31,1308.89,0.43,25156.2,0.43
RET-259058,INV-135959,2025-07-06,1308.8867915044566,1316.4,0.57,33896.74,1.0
RET-574378,INV-391912,2025-01-09,1278.92,1306.33,2.14,34768.08,2.14
RET-889869,INV-391912,2025-02-08,1306.3272316025723,1310.28,0.3,5020.39,2.45
RET-767874,INV-391912,2025-03-10,1310.28473825285,1343.83,2.56,42554.14,5.08
RET-918959,INV-391912,2025-04-09,1343.8296262986858,1333.15,-0.79,-13548.24,4.24
RET-543353,INV-391912,2025-05-09,1333.1497250614673,1355.67,1.69,28563.66,6.0
RET-088044,INV-151794,2023-10-20,1037.73,1039.7,0.19,2783.78,0.19
RET-472394,INV-151794,2023-11-19,1039.7040071114404,1043.47,0.36,5313.14,0.55
RET-410197,INV-151794,2023-12-19,1043.471608143608,1051.92,0.81,11915.76,1.37
RET-849106,INV-151794,2024-01-18,1051.921192793625,1060.53,0.82,12134.79,2.2
RET-020744,INV-151794,2024-02-17,1060.5260924156837,1070.7,0.96,14343.5,3.18
RET-558578,INV-834523,2025-05-29,1269.59,1281.75,0.96,27849.0,0.96
RET-183983,INV-834523,2025-06-28,1281.753877763142,1294.24,0.97,28596.84,1.94
RET-557216,INV-928127,2025-06-22,1448.77,1449.53,0.05,699.82,0.05
RET-230002,INV-347447,2024-08-10,1430.16,1450.55,1.43,125515.77,1.43
RET-732843,INV-347447,2024-09-09,1450.5470175227279,1457.07,0.45,40142.04,1.88
RET-597712,INV-347447,2024-10-09,1457.0671261045247,1464.49,0.51,45698.07,2.4
RET-308322,INV-347447,2024-11-08,1464.4896776631056,1463.48,-0.07,-6239.67,2.33
RET-748910,INV-347447,2024-12-08,1463.476193158106,1480.44,1.16,104411.45,3.52
RET-518289,INV-411121,2022-09-03,1095.96,1100.31,0.4,16779.95,0.4
RET-795743,INV-411121,2022-10-03,1100.3108943819234,1107.96,0.7,29502.46,1.09
RET-784462,INV-411121,2022-11-02,1107.9606266911524,1113.26,0.48,20451.25,1.58
RET-453188,INV-411121,2022-12-02,1113.2634576888265,1116.75,0.31,13448.1,1.9
RET-742464,INV-411121,2023-01-01,1116.7504343878993,1121.19,0.4,17105.91,2.3
RET-635385,INV-708071,2025-04-19,1333.58,1341.7,0.61,53675.86,0.61
RET-727321,INV-708071,2025-05-19,1341.697402233981,1364.31,1.69,149504.74,2.3
RET-811431,INV-708071,2025-06-18,1364.3070108897186,1373.2,0.65,58777.14,2.97
RET-980613,INV-016695,2024-01-10,1352.02,1363.32,0.84,32513.69,0.84
RET-833255,INV-016695,2024-02-09,1363.3163328763194,1380.07,1.23,48207.73,2.07
RET-780349,INV-016695,2024-03-10,1380.0652949973576,1394.53,1.05,41638.01,3.14
RET-294982,INV-016695,2024-04-09,1394.5317214165711,1412.21,1.27,50883.6,4.45
RET-929034,INV-016695,2024-05-09,1412.2103707757637,1419.88,0.54,22074.33,5.02
RET-703579,INV-391266,2024-03-31,1319.36,1378.03,4.45,414564.91,4.45
RET-134441,INV-391266,2024-04-30,1378.0346792615246,1390.81,0.93,90287.53,5.42
RET-333125,INV-391266,2024-05-30,1390.8133579690689,1395.97,0.37,36406.92,5.81
RET-656338,INV-391266,2024-06-29,1395.9661442379888,1394.69,-0.09,-9012.32,5.71
RET-579957,INV-391266,2024-07-29,1394.6906018530685,1406.17,0.82,81074.1,6.58
RET-130311,INV-720866,2024-09-02,1089.59,1097.35,0.71,9772.34,0.71
RET-886699,INV-720866,2024-10-02,1097.3451585936741,1104.31,0.63,8779.16,1.35
RET-033889,INV-720866,2024-11-01,1104.3121474830484,1111.38,0.64,8902.81,2.0
RET-373149,INV-720866,2024-12-01,1111.377261306083,1115.0,0.33,4566.46,2.33
RET-951863,INV-720866,2024-12-31,1115.0011215962993,1120.31,0.48,6691.99,2.82
RET-704418,INV-583066,2025-05-19,1164.81,1170.89,0.52,51049.13,0.52
RET-709042,INV-583066,2025-06-18,1170.889708264278,1176.08,0.44,43549.97,0.97
RET-198627,INV-352081,2025-06-13,1085.15,1094.81,0.89,16378.27,0.89
RET-463551,INV-646782,2024-03-03,1235.73,1251.29,1.26,4724.04,1.26
RET-588611,INV-646782,2024-04-02,1251.291970963124,1271.47,1.61,6125.31,2.89
RET-104912,INV-646782,2024-05-02,1271.470002530609,1281.47,0.79,3035.3,3.7
RET-419493,INV-646782,2024-06-01,1281.4688916172306,1294.44,1.01,3936.29,4.75
RET-556796,INV-646782,2024-07-01,1294.4358321216657,1313.26,1.45,5714.36,6.27
RET-389162,INV-584215,2024-09-26,1006.48,1011.26,0.48,25922.74,0.48
RET-333941,INV-584215,2024-10-26,1011.2610693453274,1017.87,0.65,35857.4,1.13
RET-075329,INV-584215,2024-11-25,1017.8744421771019,1024.62,0.66,36593.39,1.8
RET-684672,INV-584215,2024-12-25,1024.6235576083614,1028.04,0.33,18534.69,2.14
RET-416392,INV-584215,2025-01-24,1028.0420106167946,1032.53,0.44,24320.9,2.59
RET-557925,INV-024418,2025-05-10,1243.18,1246.8,0.29,4611.63,0.29
RET-424350,INV-024418,2025-06-09,1246.8036150585128,1259.0,0.98,15524.49,1.27
RET-083198,INV-024418,2025-07-09,1259.00206652847,1282.51,1.87,29912.19,3.16
RET-927772,INV-599384,2025-07-03,1407.02,1418.46,0.81,9273.76,0.81
RET-328688,INV-908062,2025-05-13,1425.5,1439.12,0.96,40452.11,0.96
RET-769910,INV-908062,2025-06-12,1439.118769199502,1450.93,0.82,35093.49,1.78
RET-875948,INV-831866,2025-05-12,1339.23,1340.02,0.06,3262.99,0.06
RET-378438,INV-831866,2025-06-11,1340.022338591419,1358.15,1.35,74650.54,1.41
RET-104788,INV-587123,2025-03-01,1470.16,1478.39,0.56,40437.72,0.56
RET-500127,INV-587123,2025-03-31,1478.38930481001,1491.65,0.9,65164.1,1.46
RET-654408,INV-587123,2025-04-30,1491.650566915076,1497.87,0.42,30562.36,1.88
RET-087840,INV-587123,2025-05-30,1497.8701792075324,1503.07,0.35,25569.15,2.24
RET-317183,INV-587123,2025-06-29,1503.0736458953465,1509.49,0.43,31532.72,2.68
RET-426292,INV-394868,2024-12-28,1293.6,1309.37,1.22,34954.94,1.22
RET-453909,INV-394868,2025-01-27,1309.3714252690504,1319.65,0.79,22783.05,2.01
RET-269840,INV-394868,2025-02-26,1319.6509762410067,1322.34,0.2,5968.92,2.22
RET-794771,INV-394868,2025-03-28,1322.3441126414064,1309.65,-0.96,-28124.87,1.24
RET-992288,INV-394868,2025-04-27,1309.654368456952,1329.8,1.54,44657.1,2.8
RET-341340,INV-207198,2025-06-11,1409.07,1460.3,3.64,291804.75,3.64
RET-697522,INV-456047,2023-07-10,1234.83,1259.73,2.02,43667.27,2.02
RET-667160,INV-456047,2023-08-09,1259.7323153295622,1262.9,0.25,5555.45,2.27
RET-961671,INV-456047,2023-09-08,1262.900447636389,1288.51,2.03,44905.98,4.35
RET-652240,INV-456047,2023-10-08,1288.5091685239959,1313.86,1.97,44459.51,6.4
RET-276904,INV-456047,2023-11-07,1313.8632796106149,1317.61,0.29,6578.65,6.7
RET-290664,INV-800930,2024-07-21,1014.54,1027.46,1.27,82427.68,1.27
RET-634242,INV-800930,2024-08-20,1027.4554925082375,1036.79,0.91,59592.25,2.19
RET-200157,INV-800930,2024-09-19,1036.7929295551044,1040.69,0.38,24862.68,2.58
RET-311168,INV-800930,2024-10-19,1040.6886325594407,1053.6,1.24,82383.02,3.85
RET-669172,INV-800930,2024-11-18,1053.597125971705,1065.74,1.15,77513.73,5.05
RET-100825,INV-431717,2024-05-31,1368.72,1364.13,-0.34,-26387.14,-0.34
RET-113613,INV-431717,2024-06-30,1364.1252822089184,1366.35,0.16,12765.66,-0.17
RET-616910,INV-431717,2024-07-30,1366.3481306749184,1381.5,1.11,86988.88,0.93
RET-903978,INV-431717,2024-08-29,1381.4952586855773,1393.44,0.86,68584.99,1.81
RET-564926,INV-431717,2024-09-28,1393.4377689788673,1415.32,1.57,125676.19,3.4
RET-650627,INV-215893,2025-05-23,1407.85,1407.06,-0.06,-3566.61,-0.06
RET-228297,INV-215893,2025-06-22,1407.0595610232713,1418.35,0.8,50955.77,0.75
RET-713514,INV-937939,2024-12-14,1031.57,1034.06,0.24,12056.25,0.24
RET-298819,INV-937939,2025-01-13,1034.0627670520716,1037.58,0.34,16996.05,0.58
RET-808098,INV-937939,2025-02-12,1037.5768957812918,1047.44,0.95,47720.47,1.54
RET-720575,INV-937939,2025-03-14,1047.4436493871567,1067.41,1.91,96563.38,3.47
RET-349172,INV-937939,2025-04-13,1067.4092348894055,1076.67,0.87,44777.82,4.37
RET-117541,INV-161036,2024-07-04,1487.59,1497.82,0.69,69338.03,0.69
RET-906747,INV-161036,2024-08-03,1497.8182708838137,1506.23,0.56,56994.1,1.25
RET-149446,INV-161036,2024-09-02,1506.225648719666,1517.04,0.72,73306.06,1.98
RET-402642,INV-161036,2024-10-02,1517.0392551112175,1528.01,0.72,74384.1,2.72
RET-879757,INV-161036,2024-11-01,1528.0118874766586,1537.17,0.6,62056.35,3.33
RET-268773,INV-414184,2024-01-25,1298.56,1311.15,0.97,15524.21,0.97
RET-999279,INV-414184,2024-02-24,1311.1545365511852,1315.5,0.33,5352.68,1.3
RET-295737,INV-414184,2024-03-25,1315.4970800348792,1334.98,1.48,24016.79,2.8
RET-275502,INV-414184,2024-04-24,1334.9815066034541,1336.86,0.14,2319.03,2.95
RET-426455,INV-414184,2024-05-24,1336.862899796375,1351.85,1.12,18473.47,4.1
RET-026006,INV-940479,2024-04-20,1376.87,1386.8,0.72,20197.46,0.72
RET-132117,INV-940479,2024-05-20,1386.801075379629,1403.77,1.22,34513.76,1.95
RET-503047,INV-940479,2024-06-19,1403.771465835064,1419.83,1.14,32661.9,3.12
RET-573673,INV-940479,2024-07-19,1419.831296821315,1430.18,0.73,21043.5,3.87
RET-950353,INV-940479,2024-08-18,1430.1783713524026,1448.07,1.25,36381.37,5.17
RET-743657,INV-034123,2024-08-08,1225.1,1240.67,1.27,68270.16,1.27
RET-622187,INV-034123,2024-09-07,1240.6718973674235,1248.49,0.63,34274.4,1.91
RET-402359,INV-034123,2024-10-07,1248.4896242261132,1261.56,1.05,57320.02,2.98
RET-439574,INV-034123,2024-11-06,1261.5638787753462,1283.45,1.73,95938.12,4.76
RET-973098,INV-034123,2024-12-06,1283.4466255571922,1293.3,0.77,43219.6,5.57
RET-659248,INV-587332,2024-02-17,1193.97,1209.43,1.29,119833.78,1.29
RET-297559,INV-587332,2024-03-18,1209.427492009546,1227.37,1.48,139060.06,2.8
RET-036007,INV-587332,2024-04-17,1227.365002840531,1241.09,1.12,106400.16,3.95
RET-101817,INV-587332,2024-05-17,1241.089677611749,1249.42,0.67,64550.26,4.64
RET-873729,INV-587332,2024-06-16,1249.4160867799003,1275.66,2.1,203488.89,6.84
RET-598942,INV-442048,2024-05-09,1096.79,1103.01,0.57,13840.9,0.57
RET-311980,INV-442048,2024-06-08,1103.0115140039625,1109.53,0.59,14501.03,1.16
RET-941385,INV-442048,2024-07-08,1109.5297578348127,1119.4,0.89,21955.64,2.06
RET-619191,INV-442048,2024-08-07,1119.398867832487,1125.23,0.52,12969.88,2.59
RET-094781,INV-442048,2024-09-06,1125.2288577321212,1128.07,0.25,6331.64,2.85
RET-815063,INV-526827,2025-04-03,1249.46,1251.17,0.14,3450.96,0.14
RET-757480,INV-526827,2025-05-03,1251.1713899097633,1285.49,2.74,69196.1,2.88
RET-809795,INV-526827,2025-06-02,1285.4869384905119,1308.25,1.77,45897.59,4.71
RET-372082,INV-526827,2025-07-02,1308.2483495401752,1305.87,-0.18,-4788.45,4.52
RET-704236,INV-349519,2025-03-01,1406.46,1430.88,1.74,96972.48,1.74
RET-832820,INV-349519,2025-03-31,1430.8835552704086,1459.27,1.98,112700.11,3.75
RET-802453,INV-349519,2025-04-30,1459.2682837723971,1490.02,2.11,122094.87,5.94
RET-871304,INV-349519,2025-05-30,1490.0191818043063,1503.64,0.91,54065.61,6.91
RET-731529,INV-349519,2025-06-29,1503.6361844647195,1510.64,0.47,27821.23,7.41
RET-252115,INV-103956,2025-05-07,1498.73,1520.01,1.42,55486.63,1.42
RET-888415,INV-103956,2025-06-06,1520.007682567164,1531.81,0.78,30777.0,2.21
RET-408522,INV-103956,2025-07-06,1531.8098630676204,1546.66,0.97,38732.96,3.2
RET-114795,INV-735159,2025-02-23,1473.72,1480.84,0.48,4846.31,0.48
RET-967176,INV-735159,2025-03-25,1480.8397177008133,1489.43,0.58,5845.99,1.07
RET-121963,INV-735159,2025-04-24,1489.428071506451,1501.36,0.8,8123.22,1.88
RET-422103,INV-735159,2025-05-24,1501.3618983434644,1509.08,0.51,5255.54,2.4
RET-697095,INV-735159,2025-06-23,1509.0828228438693,1519.16,0.67,6860.2,3.08
RET-781040,INV-886739,2025-04-26,1248.84,1259.61,0.86,64290.49,0.86
RET-745514,INV-886739,2025-05-26,1259.6062713852289,1261.22,0.13,9617.54,0.99
RET-979813,INV-886739,2025-06-25,1261.2168527549159,1265.99,0.38,28477.33,1.37
RET-132856,INV-395314,2024-11-01,1102.57,1114.26,1.06,35447.54,1.06
RET-070989,INV-395314,2024-12-01,1114.2550816259277,1126.8,1.13,38044.38,2.2
RET-939105,INV-395314,2024-12-31,1126.7961964886606,1130.74,0.35,11971.5,2.56
RET-866802,INV-395314,2025-01-30,1130.7425339921351,1144.6,1.23,42029.02,3.81
RET-567707,INV-395314,2025-03-01,1144.597163431048,1150.57,0.52,18133.43,4.35
RET-890633,INV-847250,2024-05-29,1462.27,1479.0,1.14,54141.07,1.14
RET-059097,INV-847250,2024-06-28,1478.995382903079,1498.84,1.34,64236.24,2.5
RET-831524,INV-847250,2024-07-28,1498.8393903298665,1509.07,0.68,33129.88,3.2
RET-928029,INV-847250,2024-08-27,1509.0739474213558,1524.79,1.04,50885.83,4.28
RET-664715,INV-847250,2024-09-26,1524.7937131046374,1542.21,1.14,56392.77,5.47
RET-906695,INV-812070,2024-06-01,1214.15,1235.22,1.74,22178.47,1.74
RET-362120,INV-812070,2024-07-01,1235.2197096273276,1246.03,0.88,11383.11,2.63
RET-751046,INV-812070,2024-07-31,1246.03374558088,1254.78,0.7,9201.28,3.35
RET-947047,INV-812070,2024-08-30,1254.7750266074147,1295.98,3.28,43378.07,6.74
RET-136908,INV-812070,2024-09-29,1295.9845068099976,1294.99,-0.08,-1049.01,6.66
RET-333384,INV-037862,2024-11-07,1266.47,1278.82,0.98,13001.46,0.98
RET-350921,INV-037862,2024-12-07,1278.8230740609183,1295.37,1.29,17413.96,2.28
RET-860281,INV-037862,2025-01-06,1295.3685945654406,1309.78,1.11,15171.29,3.42
RET-004028,INV-037862,2025-02-05,1309.783291417048,1327.08,1.32,18202.59,4.79
RET-989350,INV-037862,2025-03-07,1327.0781205598819,1329.13,0.15,2160.21,4.95
RET-115168,INV-397794,2025-04-22,1019.5,1029.52,0.98,22134.99,0.98
RET-755282,INV-397794,2025-05-22,1029.523455656414,1026.25,-0.32,-7233.1,0.66
RET-261621,INV-397794,2025-06-21,1026.248070442925,1034.83,0.84,18957.7,1.5
RET-121826,INV-376639,2024-05-08,1091.64,1097.13,0.5,12159.62,0.5
RET-065900,INV-376639,2024-06-07,1097.1294573192354,1104.42,0.66,16144.02,1.17
RET-992318,INV-376639,2024-07-07,1104.4176688544117,1107.35,0.27,6489.89,1.44
RET-554844,INV-376639,2024-08-06,1107.3475295013027,1107.2,-0.01,-318.18,1.43
RET-198613,INV-376639,2024-09-05,1107.203888001368,1108.89,0.15,3728.37,1.58
RET-450906,INV-178577,2024-11-25,1006.12,1018.08,1.19,72477.48,1.19
RET-043097,INV-178577,2024-12-25,1018.0803601201883,1025.35,0.71,44075.64,1.91
RET-952436,INV-178577,2025-01-24,1025.3537988441847,1040.06,1.43,89136.38,3.37
RET-226724,INV-178577,2025-02-23,1040.063239685889,1053.38,1.28,80708.52,4.7
RET-198295,INV-178577,2025-03-25,1053.3819012571473,1052.86,-0.05,-3160.68,4.65
RET-152522,INV-461838,2025-03-17,1054.31,1072.84,1.76,72776.21,1.76
RET-135446,INV-461838,2025-04-16,1072.8390548887153,1074.52,0.16,6589.09,1.92
RET-548924,INV-461838,2025-05-16,1074.5166580474342,1081.96,0.69,29238.18,2.62
RET-832714,INV-461838,2025-06-15,1081.960792930665,1091.62,0.89,37954.82,3.54
RET-090694,INV-418899,2024-06-12,1378.67,1387.25,0.62,18440.38,0.62
RET-949880,INV-418899,2024-07-12,1387.245806084349,1402.87,1.13,33603.51,1.76
RET-553272,INV-418899,2024-08-11,1402.8733192633783,1414.68,0.84,25382.53,2.61
RET-613387,INV-418899,2024-09-10,1414.6776141325774,1433.04,1.3,39479.99,3.94
RET-839693,INV-418899,2024-10-10,1433.038016641952,1439.61,0.46,14135.76,4.42
RET-806491,INV-075878,2023-11-04,1394.91,1413.3,1.32,72710.67,1.32
RET-901633,INV-075878,2023-12-04,1413.3039151231355,1417.55,0.3,16785.08,1.62
RET-359924,INV-075878,2024-01-03,1417.5501052586997,1427.88,0.73,40843.05,2.36
RET-497081,INV-075878,2024-02-02,1427.882338246253,1453.7,1.81,102041.09,4.21
RET-759488,INV-075878,2024-03-03,1453.6960909894817,1458.45,0.33,18776.02,4.55
RET-017043,INV-183386,2024-06-21,1365.76,1382.94,1.26,82638.79,1.26
RET-212410,INV-183386,2024-07-21,1382.9382078221442,1382.93,-0.0,-56.92,1.26
RET-887150,INV-183386,2024-08-20,1382.9263749640268,1394.82,0.86,57213.15,2.13
RET-189106,INV-183386,2024-09-19,1394.819329531146,1400.28,0.39,26264.03,2.53
RET-145873,INV-183386,2024-10-19,1400.2788609729994,1417.21,1.21,81453.46,3.77
RET-784245,INV-804051,2024-08-18,1375.88,1393.35,1.27,15349.92,1.27
RET-395616,INV-804051,2024-09-17,1393.3452233684686,1409.52,1.16,14220.13,2.45
RET-920205,INV-804051,2024-10-17,1409.5249603014001,1436.0,1.88,23266.13,4.37
RET-402523,INV-804051,2024-11-16,1435.9972875814078,1441.53,0.39,4864.56,4.77
RET-876772,INV-804051,2024-12-16,1441.5322056870875,1461.53,1.39,17575.93,6.23
RET-062603,INV-008491,2025-06-05,1086.39,1097.77,1.05,23802.38,1.05
RET-457202,INV-008491,2025-07-05,1097.772581615449,1118.79,1.91,43953.65,2.98
RET-167687,INV-254244,2025-07-09,1443.17,1458.08,1.03,23520.45,1.03
RET-411117,INV-970329,2024-11-18,1131.66,1143.3,1.03,32067.11,1.03
RET-549360,INV-970329,2024-12-18,1143.2960294491434,1168.35,2.19,69042.13,3.24
RET-471527,INV-970329,2025-01-17,1168.348994499462,1187.53,1.64,52858.27,4.94
RET-213678,INV-970329,2025-02-16,1187.5294047398224,1242.83,4.66,152389.33,9.82
RET-485968,INV-970329,2025-03-18,1242.8261403311344,1275.55,2.63,90168.64,12.71
RET-143901,INV-132757,2025-03-26,1171.53,1178.45,0.59,6417.22,0.59
RET-632602,INV-132757,2025-04-25,1178.4496041723014,1191.42,1.1,12024.5,1.7
RET-676896,INV-132757,2025-05-25,1191.4154636848832,1203.33,1.0,11053.53,2.71
RET-866711,INV-132757,2025-06-24,1203.3343459572532,1218.62,1.27,14179.45,4.02
