investment_id,policy_id,investment_type,risk_level,investment_date,amount,fund_manager,initial_nav,units_purchased
INV-820479,POL-353982,Equity Fund,High,2025-06-30,5055936,CV Palastri Wasita,1262.67,3461.8309
INV-940479,POL-444343,Balanced Fund,Medium,2024-03-21,2188072,CV Astuti (Persero) Tbk,1376.87,2033.7635
INV-034123,POL-175583,Balanced Fund,Medium,2024-07-09,6286552,UD Rahayu Laksmiwati,1225.1,4384.1902
INV-587332,POL-812242,Sharia Fund,Medium,2024-01-18,10947041,UD Hutapea,1193.97,7752.4724
INV-597881,POL-584720,Balanced Fund,Medium,2025-06-17,2208562,PD Zulkarnain Mangunsong (Persero) Tbk,1331.59,1565.0012
INV-442048,POL-394269,Money Market Fund,Low,2024-04-09,2635957,PD Usamah Permadi (Persero) Tbk,1096.79,2224.6829
INV-644447,POL-285010,Balanced Fund,Medium,2025-07-05,2203283,CV Thamrin Uwais Tbk,1327.39,1565.2433
INV-526827,POL-673909,Equity Fund,High,2025-03-04,2690889,PD Puspasari Tbk,1249.46,2016.4649
INV-349519,POL-925957,Balanced Fund,Medium,2025-01-30,4037452,CV Handayani,1406.46,3970.4489
INV-103956,POL-633865,Fixed Income Fund,Low-Medium,2025-04-07,3556018,Perum Agustina Yulianti,1498.73,2607.7384
INV-735159,POL-114525,Money Market Fund,Low,2025-01-24,783004,UD Waluyo,1473.72,680.6883
INV-886739,POL-535867,Balanced Fund,Medium,2025-03-27,7506957,PD Lestari,1248.84,5971.4725
INV-880418,POL-478040,Fixed Income Fund,Low-Medium,2025-06-30,3813598,UD Marpaung,1257.87,3472.4803
INV-395314,POL-439660,Fixed Income Fund,Low-Medium,2024-10-02,4343294,UD Halimah Marbun,1102.57,3033.5724
INV-847250,POL-650323,Fixed Income Fund,Low-Medium,2024-04-29,3396465,Perum Oktaviani,1462.27,3237.0601
INV-812070,POL-182411,Equity Fund,High,2024-05-02,1518264,UD Haryanti Ramadan,1214.15,1052.6236
INV-037862,POL-498454,Fixed Income Fund,Low-Medium,2024-10-08,1259953,CV Wibisono Purnawati Tbk,1266.47,1052.4876
INV-397794,POL-199973,Sharia Fund,Medium,2025-03-23,2390989,CV Tamba Tbk,1019.5,2208.3195
INV-376639,POL-764551,Sharia Fund,Medium,2024-04-08,3172657,PT Siregar Saputra,1091.64,2215.0865
INV-178577,POL-488556,Sharia Fund,Medium,2024-10-26,6281446,PD Wahyudin Sinaga,1006.12,6059.8074
INV-461838,POL-327992,Balanced Fund,Medium,2025-02-15,5801942,CV Hutagalung Wijayanti,1054.31,3927.6804
INV-418899,POL-571854,Fixed Income Fund,Low-Medium,2024-05-13,2848027,PT Nababan Palastri Tbk,1378.67,2150.2791
INV-075878,POL-874691,Fixed Income Fund,Low-Medium,2023-10-05,4741034,UD Fujiati Simanjuntak Tbk,1394.91,3952.974
INV-183386,POL-882250,Balanced Fund,Medium,2024-05-22,6542139,UD Rajasa Hartati,1365.76,4810.6756
INV-804051,POL-402208,Balanced Fund,Medium,2024-07-19,1309722,PD Fujiati Maulana,1375.88,878.885
INV-008491,POL-940169,Sharia Fund,Medium,2025-05-06,2424906,UD Kuswandari Hidayat Tbk,1086.39,2091.123
INV-254244,POL-223555,Sharia Fund,Medium,2025-06-09,2243897,PD Prabowo Anggraini,1443.17,1577.4488
INV-970329,POL-676013,Equity Fund,High,2024-10-19,2827692,Perum Nugroho Tbk,1131.66,2755.8467
INV-132757,POL-730143,Fixed Income Fund,Low-Medium,2025-02-24,1184323,CV Padmasari Tbk,1171.53,927.3969
INV-853752,POL-034344,Fixed Income Fund,Low-Medium,2024-12-08,1924999,PD Saragih,1171.88,1714.8953
INV-133305,POL-524482,Equity Fund,High,2024-08-21,4404788,UD Prabowo,1002.27,3340.8133
INV-755330,POL-663689,Fixed Income Fund,Low-Medium,2024-12-18,3126136,UD Fujiati Irawan Tbk,1287.93,2645.9728
INV-494928,POL-365134,Fixed Income Fund,Low-Medium,2025-05-22,6138483,PD Wahyudin Saputra (Persero) Tbk,1355.05,5736.9993
INV-617795,POL-067721,Sharia Fund,Medium,2025-07-03,7854971,PT Habibi,1375.01,5690.5279
INV-215175,POL-380492,Money Market Fund,Low,2024-07-14,2849198,Perum Tampubolon,1252.46,2650.9602
INV-501927,POL-422238,Money Market Fund,Low,2025-02-14,3105488,PD Nurdiyanti Namaga,1453.93,2411.3186
INV-389169,POL-019009,Fixed Income Fund,Low-Medium,2024-07-02,2670042,PD Mandala Lazuardi Tbk,1487.64,1780.5675
INV-553043,POL-058082,Equity Fund,High,2024-06-11,2415731,Perum Prasetya Pratama,1296.04,1787.4553
INV-865138,POL-817226,Money Market Fund,Low,2025-05-02,4231509,UD Jailani,1436.85,2952.5214
INV-116096,POL-609244,Sharia Fund,Medium,2024-09-05,4125614,PT Januar Haryanti (Persero) Tbk,1032.35,2774.1137
INV-352477,POL-078678,Money Market Fund,Low,2025-02-13,2754149,Perum Prayoga (Persero) Tbk,1405.67,2228.3063
INV-430786,POL-964828,Money Market Fund,Low,2025-06-03,891210,Perum Sinaga,1061.97,831.388
INV-328375,POL-211647,Equity Fund,High,2025-05-28,1016506,PD Tamba,1168.69,954.8866
INV-934785,POL-746108,Equity Fund,High,2024-07-30,2928942,UD Ardianto,1206.35,2193.7099
INV-708885,POL-132237,Balanced Fund,Medium,2023-09-12,3173679,UD Pratama Lestari,1495.66,2229.188
INV-259467,POL-755680,Fixed Income Fund,Low-Medium,2025-07-05,3535652,UD Halimah Jailani (Persero) Tbk,1117.47,3320.5083
INV-495146,POL-788305,Fixed Income Fund,Low-Medium,2025-05-25,1825794,UD Wijayanti,1208.52,1344.3037
INV-216783,POL-440384,Fixed Income Fund,Low-Medium,2025-06-26,3088965,PT Kurniawan Tamba Tbk,1112.75,2202.6311
INV-160581,POL-735746,Fixed Income Fund,Low-Medium,2025-05-18,2470702,PT Kusmawati (Persero) Tbk,1460.14,1781.7939
INV-532807,POL-080187,Equity Fund,High,2025-05-09,2147515,PD Suartini Tbk,1088.36,2060.2741
INV-990619,POL-000158,Equity Fund,High,2025-03-20,1832796,PD Situmorang Tbk,1096.19,1750.9543
INV-200301,POL-566328,Fixed Income Fund,Low-Medium,2025-04-08,1300849,Perum Mahendra Natsir,1092.99,1064.1952
INV-268240,POL-694015,Balanced Fund,Medium,2025-07-07,6428438,UD Melani Tbk,1142.08,5873.2864
INV-425572,POL-333877,Equity Fund,High,2024-05-14,2268720,UD Pratiwi Tbk,1073.62,1568.9897
INV-232036,POL-176120,Equity Fund,High,2025-03-13,564764,UD Yulianti Haryanto (Persero) Tbk,1024.63,458.7613
INV-618930,POL-334027,Fixed Income Fund,Low-Medium,2024-06-27,4562007,PD Puspita (Persero) Tbk,1169.0,3092.5748
INV-657295,POL-005519,Balanced Fund,Medium,2024-10-12,6597697,PD Prakasa Rahmawati Tbk,1268.39,4822.6759
INV-851660,POL-188025,Balanced Fund,Medium,2024-05-22,8739911,PD Namaga,1010.97,8545.25
INV-556933,POL-708838,Sharia Fund,Medium,2024-10-04,3029797,PT Jailani Wijaya (Persero) Tbk,1392.72,2678.0742
INV-727451,POL-953336,Balanced Fund,Medium,2024-07-11,2864449,PD Latupono,1002.25,2313.0131
INV-376061,POL-152480,Equity Fund,High,2024-10-15,5008071,PD Mayasari,1094.48,4054.8484
INV-523956,POL-828931,Fixed Income Fund,Low-Medium,2024-11-05,2570127,PD Najmudin Rahimah Tbk,1440.22,1967.2746
INV-753857,POL-349714,Equity Fund,High,2025-01-12,3597617,UD Sitorus Iswahyudi Tbk,1269.58,2584.4395
INV-448613,POL-061552,Money Market Fund,Low,2022-10-12,5939402,UD Maryadi,1371.3,4687.1784
INV-180958,POL-415631,Money Market Fund,Low,2024-09-08,3779809,CV Utami Tbk,1257.43,3335.4019
INV-125759,POL-420001,Equity Fund,High,2024-01-20,2577028,PD Prastuti Sihombing (Persero) Tbk,1083.84,1879.2186
INV-076418,POL-986048,Fixed Income Fund,Low-Medium,2025-01-14,8407212,PT Halimah Ramadan,1432.43,6069.1766
INV-017729,POL-633139,Sharia Fund,Medium,2024-04-07,1067204,PT Oktaviani,1265.95,739.7028
INV-423878,POL-308801,Balanced Fund,Medium,2024-08-20,2703845,PT Habibi Habibi,1472.96,2412.8818
INV-045603,POL-093677,Fixed Income Fund,Low-Medium,2024-12-06,232243,UD Wasita Hartati Tbk,1333.29,154.981
INV-586865,POL-243990,Balanced Fund,Medium,2023-12-24,9081148,CV Puspita Tbk,1415.14,8758.7871
INV-700271,POL-846535,Fixed Income Fund,Low-Medium,2025-06-14,4828699,PD Wijaya Budiyanto,1297.52,4781.554
INV-989368,POL-105040,Balanced Fund,Medium,2024-11-19,8371071,Perum Habibi Kusmawati,1019.04,7751.5129
INV-163482,POL-961729,Balanced Fund,Medium,2023-02-14,1473363,UD Tampubolon Rajasa (Persero) Tbk,1231.69,1328.7833
INV-523153,POL-211078,Money Market Fund,Low,2024-09-26,3490981,UD Wibowo,1104.01,2698.5273
INV-467036,POL-265055,Money Market Fund,Low,2024-06-13,2248169,CV Setiawan Suryatmi (Persero) Tbk,1211.15,2229.8388
INV-976517,POL-818436,Equity Fund,High,2024-12-09,4398967,Perum Januar Prasetyo,1431.42,3093.2893
INV-140381,POL-932757,Sharia Fund,Medium,2024-12-17,4536821,CV Hardiansyah Mahendra Tbk,1023.9,3624.7461
INV-840616,POL-185774,Money Market Fund,Low,2024-09-20,132965,Perum Sihombing Tbk,1039.51,115.2409
INV-152630,POL-933392,Fixed Income Fund,Low-Medium,2024-03-26,2809949,PD Fujiati Hutagalung,1401.81,2721.2465
INV-790650,POL-389685,Balanced Fund,Medium,2024-05-04,3698240,CV Sirait,1209.3,2575.7421
INV-057635,POL-165303,Sharia Fund,Medium,2025-01-30,5544748,PD Wibowo (Persero) Tbk,1107.71,4541.2596
INV-761905,POL-561642,Money Market Fund,Low,2025-06-20,5334756,CV Zulkarnain Budiyanto (Persero) Tbk,1141.95,3691.3186
INV-367120,POL-816111,Equity Fund,High,2025-05-08,3395734,UD Nababan,1330.97,3041.9978
INV-565076,POL-539532,Sharia Fund,Medium,2024-12-06,5180317,PD Uwais Yuliarti Tbk,1402.52,4020.6099
INV-504163,POL-734764,Sharia Fund,Medium,2025-06-24,538981,PD Ardianto Prasetyo (Persero) Tbk,1098.7,386.8439
INV-688376,POL-763782,Fixed Income Fund,Low-Medium,2025-06-07,2055184,CV Haryanti Tbk,1012.28,1918.0557
INV-459648,POL-523089,Fixed Income Fund,Low-Medium,2024-09-06,7942088,UD Hutapea Astuti Tbk,1025.79,5576.633
INV-646765,POL-120442,Money Market Fund,Low,2024-11-27,4369150,PD Thamrin,1379.22,3128.4954
INV-079197,POL-770141,Fixed Income Fund,Low-Medium,2025-06-06,2360399,UD Tamba Waskita Tbk,1398.35,1832.7282
INV-933388,POL-856142,Equity Fund,High,2024-10-29,8318301,Perum Wastuti (Persero) Tbk,1155.89,6250.6479
INV-581400,POL-454510,Money Market Fund,Low,2025-06-14,4215558,PD Maheswara,1468.56,3816.167
INV-578549,POL-586842,Money Market Fund,Low,2024-10-29,496794,PT Samosir (Persero) Tbk,1232.33,421.7736
INV-263249,POL-876350,Equity Fund,High,2023-12-12,3947438,PT Putra,1288.37,3161.535
INV-410803,POL-895317,Equity Fund,High,2024-10-02,3084441,PT Haryanti,1046.12,2908.8333
INV-457443,POL-369731,Money Market Fund,Low,2025-06-13,2326842,CV Sirait Ardianto,1428.42,2285.228
INV-453519,POL-966190,Equity Fund,High,2025-04-10,6876647,UD Oktaviani,1160.99,6492.3657
INV-734134,POL-197759,Money Market Fund,Low,2024-11-25,4912712,UD Hariyah Iswahyudi,1350.94,4895.3449
INV-600970,POL-992966,Equity Fund,High,2025-06-06,3731046,Perum Yulianti Hutapea Tbk,1418.78,3205.7085
INV-934804,POL-127930,Sharia Fund,Medium,2025-06-14,821150,PD Sihotang,1410.06,570.1036
INV-532579,POL-022528,Equity Fund,High,2023-09-11,4039102,Perum Puspasari Usada,1478.2,3452.8539
INV-038043,POL-307745,Money Market Fund,Low,2025-05-05,3278858,PD Firmansyah Gunawan,1211.23,2239.7682
INV-639492,POL-719371,Balanced Fund,Medium,2025-03-03,1587754,PD Dabukke Budiyanto,1308.17,1061.6433
INV-594499,POL-277754,Money Market Fund,Low,2023-05-31,985539,CV Pranowo (Persero) Tbk,1115.26,921.3984
INV-551964,POL-691861,Sharia Fund,Medium,2023-12-04,6474119,Perum Wahyudin Utama,1490.35,4377.2736
INV-629875,POL-112483,Equity Fund,High,2025-03-22,4896324,PT Nashiruddin Marbun Tbk,1108.2,4337.0719
INV-344795,POL-234117,Money Market Fund,Low,2024-05-12,5984823,PD Permadi Ardianto,1112.17,4902.8362
INV-647578,POL-167605,Sharia Fund,Medium,2025-02-16,716761,Perum Lazuardi Novitasari,1353.97,552.2206
INV-174213,POL-485683,Sharia Fund,Medium,2023-10-27,171712,UD Saragih Rajasa (Persero) Tbk,1018.57,146.2968
INV-296504,POL-963315,Sharia Fund,Medium,2025-06-24,4050131,UD Farida,1441.32,2784.1744
INV-826197,POL-633849,Sharia Fund,Medium,2023-02-23,5095338,PT Latupono Tbk,1275.13,3514.086
INV-389324,POL-129413,Sharia Fund,Medium,2023-03-18,5715370,PD Pertiwi,1279.46,5181.058
INV-943212,POL-451726,Balanced Fund,Medium,2025-05-07,1130752,CV Megantara Susanti (Persero) Tbk,1296.65,957.4057
INV-471152,POL-898186,Money Market Fund,Low,2024-05-21,9214393,UD Andriani Melani,1050.36,6320.827
INV-711891,POL-221780,Balanced Fund,Medium,2025-05-01,4325303,CV Pudjiastuti Wibowo Tbk,1263.39,3563.6594
INV-644797,POL-172548,Sharia Fund,Medium,2025-02-25,100215,UD Pratiwi Usada,1040.03,76.2045
INV-848528,POL-292090,Equity Fund,High,2024-07-09,7089428,PD Mangunsong Tbk,1071.29,6757.1255
INV-892243,POL-638060,Fixed Income Fund,Low-Medium,2023-04-07,3161771,Perum Situmorang Tbk,1004.78,2362.6762
INV-379029,POL-483555,Money Market Fund,Low,2024-10-22,3894789,PD Wulandari (Persero) Tbk,1227.2,3501.1402
INV-978617,POL-014853,Balanced Fund,Medium,2025-07-07,1228979,Perum Usada Laksita,1170.32,1041.1678
INV-463179,POL-415793,Sharia Fund,Medium,2023-06-23,756287,CV Lailasari Yolanda,1120.38,670.8301
INV-214980,POL-840203,Money Market Fund,Low,2024-04-06,1858318,CV Prastuti Mandasari Tbk,1166.88,1676.923
INV-836649,POL-787441,Equity Fund,High,2024-10-31,2774104,PD Anggraini (Persero) Tbk,1472.39,1994.6494
INV-206413,POL-374640,Sharia Fund,Medium,2025-06-17,3232210,PD Puspasari Nugroho (Persero) Tbk,1487.57,2647.9602
INV-420318,POL-935528,Equity Fund,High,2025-02-28,2304588,PT Tampubolon (Persero) Tbk,1447.71,2229.8228
INV-980317,POL-941147,Sharia Fund,Medium,2025-03-06,199126,PD Pratiwi Hidayanto,1332.16,178.4931
INV-766463,POL-569812,Equity Fund,High,2025-04-02,4033567,UD Maheswara,1073.05,3820.4496
INV-101007,POL-067005,Equity Fund,High,2025-06-12,3527763,PD Waluyo,1040.99,2455.8587
INV-597764,POL-152869,Fixed Income Fund,Low-Medium,2024-11-14,1731850,Perum Saragih Usamah,1157.59,1401.2724
INV-739731,POL-334838,Equity Fund,High,2025-06-27,1323421,CV Budiyanto Mangunsong (Persero) Tbk,1187.98,1129.1011
INV-059401,POL-751009,Balanced Fund,Medium,2025-07-07,1308296,PD Waluyo (Persero) Tbk,1029.67,876.3528
INV-383494,POL-148709,Balanced Fund,Medium,2024-11-03,2282370,PD Nasyidah Kurniawan (Persero) Tbk,1396.98,2064.5626
INV-717790,POL-968027,Balanced Fund,Medium,2023-06-26,4049709,Perum Laksmiwati Firmansyah,1259.93,3825.8337
INV-018402,POL-250114,Fixed Income Fund,Low-Medium,2025-01-30,3035231,CV Budiyanto Utama,1242.17,2720.3914
INV-773827,POL-872428,Equity Fund,High,2024-07-14,1279773,PT Nuraini Wijayanti (Persero) Tbk,1128.3,1007.0331
INV-672607,POL-175979,Money Market Fund,Low,2024-07-06,5361490,PD Dongoran Yuliarti Tbk,1434.49,4625.4835
INV-471633,POL-626584,Sharia Fund,Medium,2024-08-18,826145,PD Padmasari Tbk,1473.71,680.3841
INV-625257,POL-815128,Balanced Fund,Medium,2025-07-03,608738,PT Widiastuti Farida,1012.13,464.04
INV-808870,POL-846274,Money Market Fund,Low,2024-01-13,4389212,PT Winarno,1078.79,2973.9294
INV-883955,POL-093119,Balanced Fund,Medium,2025-05-12,1735153,PD Irawan Budiman (Persero) Tbk,1052.63,1297.7985
INV-244966,POL-525641,Money Market Fund,Low,2023-06-27,4203281,CV Dongoran (Persero) Tbk,1254.6,3208.1543
INV-164141,POL-510296,Money Market Fund,Low,2025-06-29,5943405,Perum Sinaga Latupono Tbk,1307.04,5064.2053
INV-611642,POL-550130,Sharia Fund,Medium,2025-05-27,3464936,PT Laksita (Persero) Tbk,1353.71,2957.3533
INV-576967,POL-382897,Money Market Fund,Low,2024-08-10,4280794,CV Melani Prasetyo (Persero) Tbk,1101.81,3083.942
INV-114695,POL-935333,Equity Fund,High,2025-06-25,3562780,PD Wacana (Persero) Tbk,1219.0,3143.1171
INV-104303,POL-120819,Balanced Fund,Medium,2023-09-16,693940,Perum Utama Farida,1202.2,622.53
INV-139953,POL-767922,Sharia Fund,Medium,2024-03-13,5842784,PD Wastuti,1387.14,4624.7464
INV-387389,POL-709710,Fixed Income Fund,Low-Medium,2024-11-30,4249753,PD Sitompul Saefullah,1296.41,3887.841
INV-169365,POL-583170,Fixed Income Fund,Low-Medium,2025-02-18,1562064,CV Tampubolon (Persero) Tbk,1149.2,1106.0654
INV-480174,POL-552214,Sharia Fund,Medium,2025-01-17,4171760,CV Halim Megantara,1215.12,2809.5505
INV-622175,POL-921988,Equity Fund,High,2024-12-14,9469639,CV Prayoga Rahimah,1281.34,6415.4266
INV-632727,POL-773393,Fixed Income Fund,Low-Medium,2024-12-18,3542256,Perum Halim Zulaika,1095.84,3390.5646
INV-101402,POL-078589,Sharia Fund,Medium,2025-06-30,6785352,Perum Mandasari,1158.77,5743.1294
INV-017947,POL-065098,Balanced Fund,Medium,2024-03-28,5529564,Perum Mahendra Mansur Tbk,1152.91,3856.0733
INV-936577,POL-091399,Fixed Income Fund,Low-Medium,2025-06-28,3179870,Perum Gunarto Nashiruddin,1415.43,2926.8017
INV-034120,POL-249791,Balanced Fund,Medium,2024-04-23,3672461,PT Uwais,1162.85,3009.3396
INV-275748,POL-419583,Fixed Income Fund,Low-Medium,2023-07-25,7828909,UD Purwanti,1392.78,6191.2095
INV-075742,POL-316994,Sharia Fund,Medium,2023-11-05,2918402,UD Winarsih,1192.23,2457.5324
INV-696669,POL-781330,Money Market Fund,Low,2025-06-09,4318410,CV Pertiwi Hariyah Tbk,1348.53,2947.4453
INV-226282,POL-287476,Money Market Fund,Low,2025-06-17,6362111,UD Rahayu Palastri,1012.16,6298.2661
INV-635567,POL-575274,Money Market Fund,Low,2025-05-22,2717693,CV Yolanda Nuraini (Persero) Tbk,1256.9,2512.3105
INV-912096,POL-111522,Equity Fund,High,2025-02-04,3315631,CV Usada Firgantoro Tbk,1033.61,2299.3145
INV-345614,POL-835270,Fixed Income Fund,Low-Medium,2024-10-24,6144344,Perum Budiman Mulyani,1100.42,4277.281
INV-913962,POL-547602,Money Market Fund,Low,2023-06-06,5256015,UD Suryono,1318.03,5160.0246
INV-600861,POL-620039,Fixed Income Fund,Low-Medium,2025-06-28,7534066,UD Lestari Mangunsong,1235.33,5305.9839
INV-222965,POL-709927,Fixed Income Fund,Low-Medium,2025-04-23,5001806,PT Lestari,1378.46,4135.3448
